"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"X3","¿qué","0","0","0","0","0","0","0","7.34160487482564e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X4","‘caus","0","0.000110975474420153","0","0","0","6.33713561470215e-05","0","0","0","0","0","0","0","0","0","2.00650106344556e-05","0","0","0","0"
"X30","a","0.0180543491748356","0.0269670402840972","0.0258987449478834","0.0224820433536252","0.019588085929628","0.0252851711026616","0.0226282501756852","0.0217311504294839","0.0199883357192089","0.00110024449877751","0.0181742109254465","0.0167348175071937","0.0248429051585562","0.0198048457785496","0.0143788460366782","0.0126610217103415","0.0227633023047844","0.0203476620401563","0.0165691387864139","0.0150372633939367"
"X31","à","0","0","0","0","0","0","0","7.34160487482564e-05","0","0","0","0.012267151294866","0","0","0","0","0","0","0","0"
"X32","â","0","0","0","0","0","0","0","0","0","0","2.61499437776209e-05","0","0","0","0","0","0","0","0","0"
"X33","å","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X34","aaah","0.000279190966621169","0","0","0","0","6.33713561470215e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X35","aah","0","0","0","0","0.000161218814235621","0","0","0","0","0","0","0","0","0","3.04636568573692e-05","4.01300212689113e-05","0","0","0","0"
"X36","aan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X37","ab","0","0","0","0","0","0","0","0","0","0.00171149144254279","0","0","0","0","0","0.000401300212689113","0","0","0","0"
"X38","abandon","0","0","0","0","0","6.33713561470215e-05","0","0","0","0","5.22998875552418e-05","0","9.74231574845341e-05","0","0","4.01300212689113e-05","0","0","0","6.59529096225295e-05"
"X39","aber","0","0","0","0","0","0","0","0","0","0.00256723716381418","0","0","0","0","0","0","0","0","0","0"
"X40","abl","9.30636555403896e-05","0","5.31801744309721e-05","3.22092311656521e-05","8.06094071178107e-05","0","9.369875849145e-05","0","5.30194581411378e-05","0","2.61499437776209e-05","0","0","0","6.09273137147383e-05","0","4.06487541156864e-05","6.73763643713785e-05","0.000159012848238138","0"
"X41","aboard","0","0","0","0","0","0","0","0","0","0","0","0","4.8711578742267e-05","8.26924667162821e-05","3.04636568573692e-05","0","0","0","3.18025696476275e-05","0"
"X42","about","0.00167514579972701","0.0016646321163023","0.00159540523292916","0.00151383386478565","0.0052799161662166","0.000760456273764259","0.0003747950339658","3.67080243741282e-05","0.000848311330258205","0","0.000444549044219555","0.000227169468423444","0.00082809683861854","0.00103365583395353","0.00338146591116798","0.000983185521088326","0.00184274351991111","0.00229079638862687","0.00101768222872408","0.00131905819245059"
"X43","abov","9.30636555403896e-05","0.000110975474420153","0.000319081046585833","0.000579766160981737","0.000282132924912337","0.000126742712294043","0.000140548137737175","0","0.00047717512327024","0","0.000967547919771972","0","9.74231574845341e-05","8.26924667162821e-05","0.000396027539145799","0.000401300212689113","1.35495847052288e-05","0","0.00038163083577153","0.000219843032075098"
"X44","abr","0","0","0","0","0","0","0","3.67080243741282e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X45","absenc","0","0","0","0","0","0","0","0","0","0","7.84498313328626e-05","0.000151446312282296","0","0","0","0","0","0","0","0"
"X46","absolut","0","0","0","0","0","0","0","0","0","0","7.84498313328626e-05","0","0","0","0","0","2.70991694104576e-05","0","0","0"
"X47","absurd","0","0","0","0","0","6.33713561470215e-05","0","0","0","0","5.22998875552418e-05","0","0","0","0","4.01300212689113e-05","1.35495847052288e-05","0","0","0"
"X48","abus","3.10212185134632e-05","0","0","0","8.06094071178107e-05","0","9.369875849145e-05","7.34160487482564e-05","0","0","2.61499437776209e-05","7.5723156141148e-05","0","0.000165384933432564","3.04636568573692e-05","2.00650106344556e-05","0","0","3.18025696476275e-05","0"
"X49","abyss","0","0","0","0","0","0","0","0","0","0","0.000104599775110484","0","0","0","0","0","2.70991694104576e-05","0","0","0"
"X50","acaba","0","0","0","0","0","0","0","7.34160487482564e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X51","acabar","0","0","0","0","0","0","0","0.000110124073122385","0","0","0","0","0","0","0","0","0","0","0","0"
